请 您好 请 说   诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   本 机要 申请 宽带 呃 先 新装 的 吗 是 吗   嗯   您 不用 挂 电话 我 帮 您 转到 宽带 专家 这边 给 您 做 申请 一下 我们 专家 为您服务
您好 很 高兴 为您服务   你好 我 想 问 一下 问 一下 那个 就是 呃 小号 就是 嗯 九六 八九 幺 六 然后 我 就 问 一下 这个 区 号 提 取消 了 吗   小米 说 的 是 这个 手机号码 你 自己 订 的 公司 小号 吗 先生 对 对 对 公司 时候 我 这个 号码 我 看 一下 你 前面 是 来电 的 工作 已经 帮 您 取消 了   已经 取消 了 对 吧 已经 取消 了   对   那么 我 想 问 一下 如果 再 上去 的话 是 嗯 怎么 怎么样 的 情况 呢
您好 很 高兴 为您服务   我 想 改 一个 套餐 呢 怎么 办理 呀   套餐 修改 一万 的 流量 多一点 是 吧   我 想 把 这个 流量 多 加一点   下个月 可以 换 八十八 分 九十八 九十八 的话 每月 流量 是 两百 二十分钟 流量 两个 g 的 现在 办 的话 还 免费 在 送 的 每个 月 两个 g 充 呢   因为 我 现在 不 想要 这些 我 就 直接 就 就 加钱 就行了 每个 月 交钱
您好 很 高兴 为您服务 你好 我 想 问 一下 我 那个 扬州 的 号码 呃 就是 这个 号码 不想 换 弄 台 上海 的 怎么弄 啊 嗯   目前 的话 换卡 服务 您 是 要 咨询 一下 您 那个 扬州 当地 的 那个 客服 看 他们 那边 是 什么 操作 的   噢   嗯 嗯 还有 什么   业务 呢 因为 这个 卡号 因为 这个 这个 手机号码 不想 换机 想 就 想 重新 办理 一下 吗   恩 您 需要 咨询 一下 对方 的 这边 暂时 不 知道 怎么 办理 很 抱歉
您好 很 高兴 为您服务   唉 你好 喂 麻烦 请问 一下 就是 我 那个 宽带 如果 要 什么 地方 的话 就是 我要 搬家 了 一 位置 的话 就是 要 走 什么 程序 啊   呃 首先 要 先 去 营业厅 办理 移机 手续 然后 我 这边 要 帮 您 看 咱们 密码 是 您 这个 老 地址 都 报 老 地址 先说 一下   噢 那 那 我 要 十一月份 才 已经 现在 可以 号码   还是 要 保留 我 可以 先帮 您 查 我 这边 也 办理 不了 以及 噢 噢 噢 好 的   就是 呃 老 地址 是 中山北路 二六五 五弄 四十五 号
很 高兴 为您服务   喂 你好 就是 我 想 问 一下子 我 想 把 这个 宽带 给 取消 了 你 看 我 带 应该 在 一些 什么 东西 过去   您 这 手机号码 办 的 宽带 是 到 这个 月 月底 关 到期 的 然后 的话 如果 不用 的话 月底 之前 要 到 营业厅 注销 那 你 现在 公司 短信 是 吧 公司 登记 的话 他 也 要 带 好 公司 那个 呃 应该 是 你 这个 应该 是 营业执照 登记 的 那 营业执照 的 那个 副本 软件 公司 介绍信 加盖 公章 的 介绍信 然后 的话 你 自己 呃 经办人 自己 的 身份证 原件 然后 宽带 安装 应该 有个 设备 一个 猫 的 呃 您 这个 是 应该 几点 反正 银行 一起 带 过去 到 您 这个 地址 收到 这个 移动 营业厅 把 它 注销 掉   不了 你 你 慢 一点 我记 一下 吧 容易 忘   这是 公司 的 那个 营业执照 的 副本 原件   啊 好 的 营业执照 的 副本 的
您好 很 高兴 为您服务   喂 你好 我 想 问 一下 现在 跟 我 说 我 办 一个 流量 卡 的话 改 怎么办   呃 您 上 一个月 流量 多一点 吗   嗯 大概 是 在 你 兆 左右 吧 就是 单独 办张 卡   噢 这个 单独 办 一张 新 的 卡 吗 您 是 指   对 流量 卡
您好 很 高兴 为您服务   您好 这边 是 集团 号 然后 那个 我 怎么 去 打 发票   好 呃 是 手机号码 还是 集团 账号 的   集团 账号   集团 账户 的话 因为 现在 没有 纸质 发票 了 如果 你 要 发票 的话 申请 电子版 的 然后 我们 会 下发 到 您 指定 的 邮箱 去 邮箱 下载 打印 就 可以   那 我 不 申请 就 没 发票 了 我 这边 查 过 不好 对账
高兴 为您服务   唉 你好 我 那个 我 想 问问 我 有 积分 能换 五十块 钱 电话费 那个 怎么 换 啊   啊 对 发短信 换 的 短信 代码 我 可以 发 您 手机 上 或者 您 现在 记 一下 也 行 发给您 是 吧 呃 发给 我 吧 那 您 可以 查收 一下 每个 月 最后 一天 不能 换 一个月 只能 换 一次 注意 查收 请问 还有 什么 帮 您 的   好 的 噢 发给 我 吧   好 的 好 祝您 生活 愉快 再见
服务   喂 你好 唉 我 想 问 一下 那个 电子 发票 怎么 怎么 办理   电子 发票 是 哪个 号码 给 您 发 的 是 本 机号码 发票 吗 先生   本机本 机号码 的 余额 谢谢   月结 发票 哪个 月 的 发票   呃 就 这个 月 呃 九月 嗯 大小 月 的
您好 很 高兴 为您服务   哎 你好 我 想 问 一下 就是说 因为 我 我 没付 一个 手机 要 开通 国际 长途 是因为 他人 在 美国 然后 的话 他 要 让 我 帮 他 开通 国际 长途 的话 怎么 操作   您 要 知道 她 的 手机 服务 密码 或者 是 姓名 身份证 还是 要 报出 他 一周 以前 两个 月 以内 打过 的 三个 号码   应该 没 的 它 因为 已经 去 美国 因为 之前 在 国内 回来 跟 一个 一个 三个 月 超过 以上 了 回 美国 一天 测 超过 上个月 交了 其 那种   不能 办 了 您 如果 知道 密码 的话 可以 网上 营业厅 帮 他 办 我们 这边 人工 台 不能 办 了   但是 我 我 有 他 的 身份证 呢 可以 帮 他 了 但 不 可以 的
很 高兴 为您服务   唉 你好 唉 我 想 一下 就是 我家 里面 现在 用 的 那个 宽带 呀 这边 充 的 是 联通 的 那 现在 我 想 给 他 改成 移动 的 应该 怎么 改 呢   这样 再装 移动 宽带 是 吧   对 的   啊 那 有 什么 地方 装 呢   嗯 光路 背光 路 对 咱们
您好 很 高兴 为您服务   唉 你好 就是 我 这个 宽带 已经 到期 嘛 我 觉得 费 是不是 我 带 好 那个 就是 上次 呃 工作人员 坏装 那个 合适 到 营业厅 去 退 就 可以 了   对 带 好 身份证 和 字 过去 宝山区 的 营业厅 都 可以 办理 的   噢 我 现在 带 过去 就 可以 直接 办理 不 需要 预约 的   啊 不用   噢 那行 行行好 好 谢谢 你
好 很 高兴 为您服务   唉 你好 我 是 企 企业 人 在 你们 这里 就是 开 了 一些 手机 的 那个 呃 号码 我 现在 去 就是 那个 补卡 或者 是 就是 关停 有些 不 需要 的 那个 号码 我要 带 什么 证件 去 你们 营业厅   呃 是 上海 移动 手机号码 是 以 公司 名义 登记 的 对 吧 之前   对 都 是 以 公司 名义 登记 的 啊 换卡 的话 您 记 一下 那个 资料 宝   稍 等 我 看 一下 啊 呃 直接 用户 的话 先生 您 记 一下 那个 带 好 证件   噢 你 说
你好 您好 很 高兴 为 您 服   多少   唉 你好   我 我 想 装装 宽带 怎么 个 办理 吧 嗯   您 要 办 宽带 是 吧   对
您好 很 高兴 为您服务 那个 刚刚 发了 一个 中国移动 那个 网站 那个 怎么 充值 运行 怎么 搞 的 呢   中国移动 的 网站 停机 噢 就是说 您 手机 打开 网页 就是 提示 停机 类型 啊   呃 我 下载 下载 不上 那个   下载 不 下来 但 您 这边 那个 手机 呃 我 看 一下 网 网络 都 正常 啊 您   其他 的 网页 什么 都 能 打开 吗 全部都是 网页 都 正常 我 月租 不 知道 的 开   就是 你 刚刚 说 的 是 什么 打不开 呢
您好 很 高兴 服务 哎 你好 我 想 问 一下 就是说 呃 那个 除了 流量 加油 包 现在 有 什么 就是 这种 流量 的 套餐 是 现在 申请 马上 就 能 用 的 吗   你 可以 办个 流量 套餐 帮 您 按天 结算 立即 生效 的 加 三十块 钱 五百 兆 五十块 钱 一个 g 七十块 钱 两个 g 都 有   七十块 钱 两个 g 对 吧   啊   噢 这 是 当月 生效 的 刚才 交 五十块 钱 的 流量 卡 那个 不能 买 了 吗   那个 要 八元 套餐 换掉 的 您 换 套餐 下个月 才能 生效 这 属于 一个 基础 套餐
啊   喂 你好   请 说   哎 就是 我 我 上 这个 月 打个 电话 过来 我 想 把 我 这个 流量 套餐 加 然后 呢 呃 你们 你们 你们 那个 叫 什么 也 是 人工 服务 他 跟 我 说 是 他 要 先要 把 我 那个 套餐 降巷 了 然后 再 找 一下 我 是 这个 月 再 打电话 改 套餐 是不是 这样 的 我 也 不 知道   您 现在 是 想 改成 什么样 的   才 村 就是 我 现在 是 两个 g 的 流量 是 吧 你 帮 我 转到 这个 套餐 有 这些 都 要 改加 到 什么 他 说 是 十二号 一 呃 我 是 一百五十 八 的 是 吧 套餐 他 说 是 一百五十 八 的 套餐 情况 下先 降到 一百二十 然后 人 就是 改 到 一百七十 八 但是 呢 这 这 三十块 钱 的 是 交 了 好像 多少 g 的 流量 好像 好像 两点 五 g 我 也 不 知道 这个 什么 套餐
您好 很 高兴 为您服务   唉 你好 就是 我们 去年 的 时候 办 了 一个 那个 就是 消费 满 多少 一个月 和 那个 送 宽带 业务 嘛 我 现在 这个 宽带 业务 要 取消 是 在 咱们 这边 就 可以 直接 打电话 取消 对 吧   宽带 业务 要 取消   对 的 对 的 因为 我要 搬 搬走   哪个 号码 的 宽带   什么 是
您好 很 高兴 服务   你好 是 这样 的 我 原来 这个 手机号码 是 挂 在 我 不仅 一下 然后 我 想 现在 把 它 转到 我 的 名下 呃 我 想 如果 办理 这样 的 服务 的话 需要 去 营业厅 怎么弄 呢   你 现在 也就是说 有 一个 号码 名字 要 改为 您 的 名字 是 这 意思 吗   对 对 对   好 是 在 这个 群组 里面 吗 这个 号码   呃 是 在 什么
噢 喂 再见   您好 很 高兴 为您服务 您好   对   嗯 您好 请 说   吧 再见 哦   呃 您好 请 讲 能 听见 吗 这边 有点 断断续续 的 不 太 清楚 啊
您好 很 高兴 为您服务   喂 您好 嗯 就是 我 想 问 一下 现在 就是 那个 办 那个 宽带 是 怎么办 呀   办 宽带 是 吧 我们 付费 的 一年 七百 六 二十 兆 的 然后 送 您 两百元 的 话费   送 两百块 话费 我 看 上面 显示 的 说 什么 有 套餐 个人 套餐 超过 呃 超过 是 多少 然后 是   月 消费 一百零八 的话 是 这样 的 宽带   还有 一个 是 那 我 的 这个 套餐 你 看 现在 符合 吗
噢 好 的 结构 哎 你好 我想充 一下 流量 怎么 充 的   他 到 月底 的话 有 一个 加 二十块 钱加 两个 g 的 流量 月底 清零 吧 就 可以 吗   加 二十块 钱加 两个 g 流量 可以 啊 你 给 我充 一下   好 机主 姓名 报 一下   呃 啊 是 本地 的 还是 全国 的   全国 的
服务   您好 我 收到 短信 说 我们 我家 这个 宽带 没 了 块 呃 我 这 怎么弄   您 现在 续约 还是 取消 的   我 如果 是续 的话 我 原来 是 就是 是   对   不要 交钱 的
很 高兴 为您服务   唉 唉 先生 是 这样 的 噢 呃 我 买 了 一个 手机号 已经 这个 手机号 我用 了 十年 了 用 了 十年 了 以后 呢 不是 你们 来 短信 一直 叫 我 去 办 我 是 三 g 的 三 g 的 三 g 的 卡 我 平时 就 打 打电话 因为 你们 短信 来要 办四 g 办四 g 的 那 我 就 去 办 了 今天 拿 着 身份证 去 办 那个 窗口 的 营业员 说 呢 我 这个 名字 不是 我 的 名字 是 别人 的 名字 现在 怎么 处理 法 比较 好 一点 的   好 的   我 这个 电话号码 啊 我 这个 电话号码 一直 实名制 是 吗 哎 没有 实名制 的 没有 实名制 原先 我办 的 这个 卡 呢 我 已经 用 了 十几年 了 已经 我办 的 浦江镇 到 现在 一直 就 买 就是 用 这个 号 就是说 我 零 六年 办 过来 的 我 买 的 号 买 的 号 用到 现在 情况 就是 这样 我想 办个 啊   因为 现在 这个 号码 就是 身份证 名字 不是 您 的 是 把 用户名 是 您 的   对 对 我 今天 更换
您好 很 高兴 为您服务   喂 你好 呃 您好 请 说 那个 流量 我想续 点 流量 怎么   呃 先生 这个 的话 您 要加 流量 包是 吗 好 的 先生 那 我们 现在 的话 有 一个 活动 二十块 钱 一点 五个 g 的 流量 包 您 要 吗   不是 当月 生效 吗   可以 的 先生 如果 你 要 的话 可以 当月 生效   二十块 钱 一点 五 g
高兴 为您服务   喂 你好 我想加 一下 流量 你 看 怎么 加 吧 这个 月 还有   流量 稍 等 这个 月 的话 不够 您 可以 订购 有 一个 任 我 翻 就 再加 二十块 钱 可以 可以 再 给 您 是 一点 五 g 需要 吗   啊 还有 再少 一点 的 吗 还 没   这 是 和 最 划算 的 不然 你 方便 加 我 看不到 那么 多 的 我们 二十块 钱 平时 只有 三百 兆 呀 因为 它 活动 才 给 他 多 啊 您 大概 需要 多少 兆 啊 如果 您 觉得 有 担保 的话 就 可以 订购 这种 安心 手上 就 不要 订购 这个 如果 您 流量 的话 超过 就是 大于 五百 兆 以上 那 你 还 不如 这个 因为 手 算下来   差不多 六百 一下
您好 很 高兴 为您服务 哎 你好 我 想 我 想 问 一下 就是 你们 请 讲 呃 二十五 号 开始 就是 用 那个 欠费 提示 那个 吗   嗯 对 流量 翻倍 的   对联 好 的 那 我们 是 需要 更改 吗 还是   要 改 的 他 自己 不会 改 的 啊 不是 要 去 操作 一下   好 知道 等 我 就 想 问 一下 自己 都 可以 在 这个 什么   啊 对 的 是 的 重新 稍等一下 好谢
在 异地 您好 很 高兴 为您服务   喂 你好   请 说   就是 我 那个 手机卡 掉 了 我 这边 转 到 那个 是 换 那个   哪个 号码   号码 是 绑定 的 号码
您好 兴 您 服务 您好   你好 我 查帐 单 怎么 查 呀   这边 的话 您 通过 手机 登录 掌上 营业厅 有 一个 意见 查询 也 没有 专人 查询 只能 看到 了   在 哪里   你 通过 手机 登录 掌上 营业厅 也 没有 一个 一键 查询 也 没有 那个 账单 查询   用电
您好 很 高兴 为您服务   喂   啊 您好 请 说   呃 我 想 问 一下 假如 说 我 想查 我 这个 电话 呃 就是 拨出去 的 号码 还是 打 进来 号码 我能 查到 顺便 能查 到 是 多久 的 满近 六个月 的 近 六个月 噢 好 的 谢谢   不 客气 那 还有 什么 可以 帮 您   呃 没有 了
好 很 高兴 为 您 五 啊   你好 我想查 一下 那个 入账 的 电子 发票   电子 发票 是 吧 发给您 邮箱 对 吧 对 好 的 我 看 一下 啊 帮 您 那个 sos 用 那个 那个 里面 是 把 那个 邮箱 里面 好 这边 请报 一下 您 的 姓名 好 的 帮 您 发 过去 您 注意 查收 还有 什么 可以 帮 您 不 客气 请 稍后 请报 一下
可以 可以   您好 请 讲   唉 你好 我 我 想 问 一下 你 能 帮 我 因为 我 这边 是 上海 德康 的 然后 你 能 帮帮我 找 一下 你们 负责 我们 上海 德庄 业务 的 业务 业务经理   上海 德 他们 对 对 对 好 这边 帮 您 您 是 集团 用户 对 吗 对 对 对 对 对 我 这边 帮 您 转到 集团 专席 为了 更好 的 问题 问题 请 稍等一下
高考 您好 很 高兴 为您服务   哎 你好 我 想 问 一下 怎么 把 电子 发票 就是 你 是 要 有些 发给 我 吗 还是 怎么样   啊 对 现在 都 是 电子 发票 直接 推送 到 您 的 幺 三九 邮箱 的 您 现在 是 要 开发票 吗   对 对 对 对 对   又 发 我 一个 流量 几月份 的 呃 今年 呢 噢 啊 好 吗   今年 所有 的
您好 很 高兴 为您服务   喂 你好 是 这样 的 呃 我 了解 一下 就是 那个 移动 的 电子 发票 在 哪里 打印 的   充值 发票 的话 是 有 我们 人工 下发 到 您 幺 三九 邮箱 然后 您 自己 直接 登录 幺 三九 邮箱 在 电脑 上面 打开 打印 下来 就 可以 了   唉 你好 没要 不发 呃 不是 噢 对 呀 你 还 没 发给 我 吗   嗯 可以 的 那 这边 的话 您 需要 我 可以 下发 到 您 幺 三九 邮箱 幺 三九 邮箱 就是 您 的 手机号码 加艾特 幺 三 九点 com 您 登录 就 可以 了 那 这边 需要 几月份 的 发票 呢   嗯 给 我 把 上个月 吧 四 五六
