你好 请 讲 其他   先生 嗯 请 讲
您好 请 讲   您 现在 办理 的 是 三十八 元 的 套餐 月租 一次性 扣 三十八
你好 请 讲   您 稍等一下
你好   你好
您好 请 说   你好
您好 请 说   噢 我 帮 您 看到 了 就是 一个 三十元 五百 兆 的 流量 之前 的话 是 每个 月 只 收 您 十块 下个月 开始 就要 收 三十 了 我 帮 您 取消 吗
您好 请 讲   恩好 您 这 号码 的话 现 除了 那个 三十八 月租 以外 的话 有个校 讯通 八块
您好 请 说   嗯 嗯 喂 你好 诶 您 讲
呃 您好 很 高兴 为您服务 你好 呃 请 说   来电 提醒 两块钱 有 有
您好 请 说   您 是 办理 八十八 元 套餐 新飞 享 八十八 的 下个月 生效 是 吗
你好   哎 你好
他 您好 请 讲   本 机号码 的话 您 这个 是 那个 流量 日租卡 套餐 就是 月租费 呢 这个 九块 钱 的 然后 流量 的话 呢 就是 一天 一块钱 五百 兆 的 省内 流量 的 这个 套餐 就 有用 是 免费 的 这 样子
您好 高兴 为您服务   好 马上 查询 一下 你好 有个 三十元 的 上网 套餐 要 退掉 吗 女士
您好 有 什么 可以 帮 您   现在 有 办理 了 下个月 生效
您好 很 高兴 为您服务   刚刚
您好 请 讲   没错 是 的
您好 请 讲   噢 您 现在 是 有 办 宽带 活动 对 然后 是 有 什么 问题 呢
您好 您 说 诶 你好 我 想 问 一下   就 目前 的 是 吗
请 啊 您好 请 讲 哎 您 说   手机号 对 吗 噢 您 这个 是 和 家庭 九十九 元 的 套餐 那 其他 您 这边 收费 业务 就 没有 了 就 只有 一个 九十九 元 的 套餐
很 高兴 为您服务 您好 请 讲   嗯 您 现在 在 用 的 现在 是 五十八 元 的 飞享 套餐
你好 需要 什么 帮助   嗯 稍 等 我 帮 您 查 一下 本机 有 加入 一个 是 这种 九州 通 中药 呃 中药材 有限公司 的 这个 集团 网
您好 请 讲   哦 好 的 您 这边 手机 除了 基础 套餐 之外 呃 有 开通 一个 来电 提醒 五十元 上网 流量 还有 一个 咪 咕彩铃 这些 业务
您好 请 讲   我 帮 您 马上 看 一下 哈 您 稍等一下
哎 你好 很 高兴 您 服务   哎 您好 请 讲
现在 您好 很 高兴 为您服务   好 我 帮 您 看 一下 您 稍等一下
您好 请 说 您好   有些 下个月 打 我们 那个 八十八 元 套餐 有 改
您好 请 讲   好 您 这 张卡 套餐 是 一个 三十八 套餐
有 什么 可以 帮 您   请 稍等一下 帮 您 查看 一下
您好 请 说   请 稍等一下 帮 您 查询
您好 下午 好   嗯 本 机号码 现在 我 下个月 是 改 了 套餐 了 下个月 开始 用 的 是 一个 八十 八块钱 的 套餐 然后 另外 您 有 一个 七十块 钱 的 流量 套餐 那个 我 到 下个月 给 您 关掉 啊
你好   恩好 可以
您好 您好 请 讲   别的 业务 吗
啊 您好 请 说   嗯 嗯 好 的 您 稍 等
您好 请 讲   有个 十块钱 的 您 是 指 这个 吗
哎 您好 请 讲   你好
因为   本 机 八块 套餐
很 高兴 为您服务   你好
您好 很 高兴 为您服务   本机 是 一个五十 的 流量 卡 套餐 除此之外 您 额外 开 的 有 一个 十块钱 的 夜间 九块 钱 的 腾讯 包 噢 诶 这 上面
你好 谢谢 请 说   跟 您 这个 号码 都 已经 办过 了
很 高兴 为您服务   来电 提醒 没有 啊
您好 请 讲   呃 有 的
您好 请 说   您 这个 套餐 一个月 十二块 钱 啊
你好 喂 你好 啊 请 讲   这个 八十八 的 新飞 享 套餐 嗯
很 高兴 为您服务 您好   请 您 稍 等
您好 请 讲 哎 你好 嗯 我 想 问 一下   没有 办家 都 包括 来电显示 吗
嗯 您好 请 讲   嗯 目前 您 用 的 是 一个月 八块钱 的
您好 请 讲   噢 我 看 一下 儿改 了 改 五十八 套餐 了 下个月 一号 使用 噢
早上好   我 说
您好 请 说   我 想 问 一下
您好 请 说   好 的 目前 帮 您 看 一下 这个 十八块 钱 一个 基本 套餐
您好 高兴 为您服务   本 机号码 您 稍 等 我 看 一下 我们 是 幺 二八 的 六百五十 分钟 六百 兆 流量
您好 请 讲   您好 用 的 是 十八块 钱 的 飞享 套餐
早上好 请 讲   呃 这个 套餐 是 飞享 三十八 套餐 有 包括 五百 兆 流量 和 来电显示 还有 一百 分钟 在 本地 打 全国
哎 您好 请 讲   喂
您好 请 讲   嗯 没错
您好 请 说   因为 这边 他 手机号码 跟 密码 吗 我 帮 您 查 一下
您好 请 讲   新飞 享 套餐 三十八
您好 很 高兴 为您服务   呃 是 本 机号码 吗
你好   帮 我 看 一下 哈请 稍等一下
好   这个 是 三十八 套餐 一百 分钟 五百 兆 流量 那种
您好 请 说 呃 请问 一下 我 这 我 这 张卡 是 什么 套餐 号码 是 一个 五十八 套餐 本地 的 全球通 飞享 的 吗 对 新飞 享 五八 套餐 四百 分钟 三 g 流量 的 这 一种 四百 分钟 吗 对 本地 打 全国 四百 分钟 在 整个 福建省 流量 三 g 家 对 吗 噢 那 就是 发 最后 给 你 过来 啊   你 说 什么 您 刚才 说 什么
您好 请 说   一百三十 九 这个 是 基础 的 套餐 额外 要 扣费 的 有 两块钱 的 来电 提醒 其他 的 稍等一下 一块钱 的 集团 网 其他 没有 了
你好   噢 对 没错 是 的
你好 请 讲 你好   诶 您 说
嗯 你好 请 讲   哎 稍 等 我 这边 帮 您 看 一下 哈
啊 对 是 有 一个 流量   到期 本月 到期 我 帮 您 登记 自动 取消 哎行 好 谢谢 啊 现在 请 您 稍等一下
你好   呃 您 这 十八元 的 套餐
您好 请 讲   好 的 马上 帮 您 查询 您 号码 的话 目前 是 一个 这边 优惠 的 流量 九元 的 日 租卡 那 其他 额外 的 一些 增值 业务 的话 帮 您 查看 这些 的话 都 取消 了 下个月 的话 都 没有 了 那 就 一个 套餐 下个月
您好 很 高兴 为您服务   嗯 我 帮 您 看 一下
你好 高兴 为您服务   您好 请稍等
下午 好 很 高兴 为您服务   你好
嗯 您好 兴 您 服务 喂 你好   噢 对 没错
您好 您 请 说   你好 诶 你好
知道 您好 请 讲   你好
您好 请 讲   呃 这个 手机 套餐 费 九十九 块 的
您好 很 高兴 为您服务   对 对 对 对 要 取消 吗
喂 你好 请 讲   除了 三十八 套餐 之外 您 这边 下个月 改了 五十八 有 一个 流量 包 五块 给 您 取消 掉 吧 每个 吗 块钱 流量 包 五块 钱
您好 请 讲   您好 您 说
您好 请 讲   好 您 现在 就是 基本 套餐 每个 月 七十九 这个 呃 其他 收费 的 没开 了 就 这个 就 还有 一个 惠民 网 一个月 一块钱 其他 收费 没开 了
您好 请 讲   我 给 您 看 一下 请问 您 月租 之外 的话 其他 的话 有个 家庭网 剩下 的 没 了
你好   恩 您 说
您好 很 高兴 为您服务   喂 你好
您好 请 讲行   您 每天 扣费 是 您 的 宽带 费 按 天扣 一天天 扣 的
您好 您好   对
您好 请 讲   稍等一下 您 家 套餐 就 十八 套餐 跟 来电 提醒
中午 好 请 讲   呃 下个月 套餐 的话 是 有 改成 三十八 的 新飞 享 套餐
您好 请 说   嗯 这个 月 的 流量 只有 五八 套餐 里面 的 五百 兆 然后 下个月 是 一百三十八 里面 本地 龙岩 不 限量 的
您好 很 高兴 为您服务   呃 我 看 一下 呗 下个月 你 有 改 了 五十八
你好 中午 好   嗯 我查 一下 吗
您好 很 高兴 为您服务   流量 套餐 的话 呢 就是 五十八 套餐 五百 兆 另外 开 了 一个 五十块 钱 一个 g 就 您 一个 g 五百 兆 的 流量
您好 很 高兴 为您服务   噢 马上 给 您 查询 的 啊 您 现在 用 的 就是 如果 用 一百三十八 块钱 套餐 另外 的话 是
您好 请 说   啊 先生 您 目前 呢 这个 是 五十八 元 的 飞享 套餐 然后 这个 里面 还有 一个 是 十块钱 那个 流量 包 活动 到 二月 一号 明年 二月 一号 到期 的 还有 两块钱 的 来电 提醒 对 对 对 下个月 的话 您 是 升级 为 那个 八十八 元 新飞 享 套餐 了 还有 一些 家庭网 的 套餐 业务
我 看 一下 现在 是 二十八 块 的 套餐 费 其他 的 您 稍等一下 看 一下 噢 嗯 没有 没有 其他 收费 了   没有 开
你好 请 讲   但 现在 只 需要 提供 一下 他 的 服务 密码 请问 可以 提供 吗
您好 很 高兴 为您服务   十八块 钱 套餐
您好 很 高兴 为您服务   您 用 的 是 三十八 的 套餐 另外 有 一个 来电 提醒 两块 还有 个 家庭网 三块 就 这 三个 其它 没有 了

您好 很 高兴 为您服务   啊 好 的 那 这边 帮 您 查询 的话 您 这个 五十块 的 这个 流量 包 呃 是 有 开 的 那 这个 帮 您 关闭 掉 是 吗
您好 请 讲   我 看 一下 您 稍 等
你好   移动 宽带 我 帮 您 看 一下 嗯 行 不 啊 我们 有 办理 到 宽带 一下 看 一下 哈
招行   我 帮 您 看 了 一下 您 现在 用 的 是 四 g 飞享 二十八 的 一个 月租 然后 另外 您 有 开通 的 就是 那个 宽带 然后 宽带 包月 的 其他 固定 有 收费 的 包月 服务 的话 我 帮 您 看 了 一下 就 没有 了
你好   积分 是 自动 累积 的 呀 不是 有 七百 三十五
您好 很 高兴 为您服务   八块钱 您 稍 等 啊 八块 呃 那个 和 教育 那个 小孩子 在 学校 读书 那个 校 讯通 是 吧
您好 请 讲 你好 你 帮 我查 一下   噢 我 帮 您 查 您 稍 等 短信 功能 没有 关闭 正常 开通 的
您好 请问 需要 什么 帮助   好 请稍等 嗯 嗯 嗯 这 里面 有 发现 订购 了 热门 资讯 一些 着 口 上 通讯 书库 图书馆 报 手机 报有 订购 的 项目
您好 请 讲 为您服务   您 现在 这个 号码 是 四十八 元 的 这个 飞享 套餐 另外 有 参加 的 那个 活动 它 到期 会 自动 关来 显是 套餐 包含 的 其他 的 什么 收费 项目 就 没有 了
您好 很 高兴 为您服务   好 的 请 稍等一下 目前 的话 月租费 四十八 块钱 一个月 然后 其他 的话 有 一个 手机 视频 跟 手机 动漫 但是 都 是 送 的 话费 返还 的 钟出 其他 的话 没有 开通 什么 收费 的 业务 您 是 说 这个 话费 的 比较 大是 吗
您好 请 讲   我 看 一下 稍 等
早上好 您 请 说   恩好 我 帮 您 看 一下
您好 请 说   您 稍 等 我 一下
您好 请 说   七五
你好 您 请 说   你好
您好 很 高兴 为您服务 哎 你好 我 问 一下 我 的 手机号 哎 请 说   您 是 三八 套餐 其他 有些 业务 您 额外 要 收费 就 一个 来电 提醒
您好 很 高兴 为您服务   我 帮 您 查 一下
您好 请 说   呃 这个 是 三十八 元 的 套餐
您好 很 高兴 为您服务   您 说 新飞 享 五十八 套餐 呢
呃 晚上 回头   恩 你好
您 很 高兴 为您服务   呃 我 这里 看到 您 有 开通 的话 那 就 一个 三十八 一个 基本 套餐 还有 一个 宽带 然后 还有 一个 来电显示 这个 是 包 在 套餐 内 的 其他 的 什么 意思 噢 还有 个 学校 的 校 讯通
下午 好 请 讲   诶 先生 您好
您好 请 讲   您 现在 用 的 是 三十八 元 套餐 里面 的话 一百 分钟 五百 兆 的 额外 有订 了 一个 三十元 五百 兆 的 流量 包 这 两个 加 起来 就要 六十八 了
您好 很 高兴 为您服务   有没有 关掉 帮 您 查 一下
中午 好 很 高兴 您 服务   三十八 套餐
您好 请 说   三十八 元 套餐
您好 请 说   诶
您好 请 说   行 您 这边 就 一个 八块钱 的 一个 基础 套餐 其他 的 业务 的话
我 您好 请 讲   嗯 是 没错
你好   你好
您好 喂 你好 哎 您好 请 说   现在 手机 这个
您好 请 讲 您好   我 帮 您 看 一下 请 稍等一下
你好   您 目前 的话 是 二十四块 钱 一个 基本 套餐 然后 里面 有 包含 三十个 g 的 那个 腾讯 视频 定向 流量 这个 业务 然后 您 如果 有 有用 额外 的 流量 是 每天 会 给 您 扣 一块钱 每天 会 给 您 五百 兆 流量 可以 在 福建省 内 使用 额外 有 送 来电显示 打电话 都 是 每分钟 一毛 九 在 国内 接电话 是 不 收费 的
您好 您 说   诶 您好
您好 请 讲   您 这边 现在 用 的 是 五十八 元 套餐 下个月 改了 我们 的 八十八 套餐 那改 了 以后 流量 比较 多 那 您 额外 开 的 一个 五十块 钱 流量 建议您 可以 取消
对 您好 请 讲   套餐 您 是 八十八 套餐 然后 有办 一个 来电 提醒 三块
你好 请 讲   它 这 张卡 是 五十八 元 套餐 还有 开通 来电 提醒
您好 请 说   呃 您 是 说 开查 一下 您 有 什么 业务 是 吗
您好 请 讲   请稍等 为 您 查 一下 您 目前 号码 这边 并 没有 限速 啊 您 看 并 没有 限说
你好 哎 你好 我 想 问 一下 那个 我 这个 本 机 的话 有没有 开通 国际漫游 的 你 想 请问 一下 没 开 需要 帮 您 开通 吗 嗯 帮 我 开去 哪里 呢 去 日本 呃 首先 国际漫游 是 免费 的 我 这边 立即 帮 您 开通 去 日本 的话 首先 要 自己 苹果 手机 或者说 wcdma 制式 的 手机 才 有 信号 您 等 一下 你 稍等一下 您 在 您 稍等一下 还有 个 直接 申请   再 加 就是 苹果 手机 或者 wcdma 制式 的 手机 才 有 信号 啊 好 的 好 的 那 另外 一个 六百 兆 的 上网 流量 套餐 要 办 流量 套餐 吗
您好 很 高兴 为您服务   噢 对 有 的
他 您好 很 高兴 为您服务   这个 套餐 是 每月 八元 钱 的 基本 套餐
您好 很 高兴 为您服务   您好
你好 很 高兴 您 服务   嗯 改成 五十八 元 套餐 是不是
您好 请 讲 嗯   好 应该 是 和 家庭 九九 套餐 有 一个 手机 保障 服务 十五块 钱
您好 请 讲   呃 流量 大概 需要 增加 多少 啊
你好 你 说 你好   哎客
您好 很 高兴 为您服务 上门 对   诶 您好
您好 很 高兴 为您服务   好 请 您 稍 等 我 看 一下 感谢 耐心 等待 您 目前 有 这个 月 用 是 我们 飞享 三十八 的 套餐
您好 很 高兴 为您服务   嗯 本 机用 的 是 全球通 商旅 五十八 的 套餐
您好 请 讲   请 稍等一下 啊 嗯 您 有 两个 业务 它 是 活动 送 的 我 帮 您 登记 到期 关 您 自己 要 收费 的 就 一个 十八块 钱 的 套餐 那 您 稍等一下 啊 对 对 对
下午 好 请 说 噢 您好 有 什么 帮到 您 的   请 您 稍 等 我 看 一下
您好 请 讲   我 帮 您 查 您 有 收费 的 除了 一个 基础 套餐 三十八 另外 一个 来电 提醒 三块 钱卡 是 没有 钱
您好 很 高兴 为您服务   十八块 钱 套餐
您好 请 讲   您 的 基本 套餐 三十八 元 的 飞享 套餐 多少 一百二十八 飞享 套餐 十八块 啦 然后 不要
您好 请 讲   嗯 催 一下 我 看 一下 您 下个月 是 更 改为 新款 的 三十八 套餐
哦 不 客气 早上好 请 讲   恩对
您好 诶 你好 嗯 先生 您好   我 看到 您 三十八 套餐 下个月 改成 五十八 了 就是 四百 分钟 流量 三 g 的 那 您 现在 有 那么 多 流量 了 之后 您 这里 还有 几个 项目 没 取消 有个 十块 一 g 的 夜间 流量 包 跟 三十块 五百 兆 流量 包 您 看 这 两个 要 不要 取消
您好 很 高兴 为您服务   呃 您 现在 本 机 套餐 是 动感地带 三十八 元 的 套餐 然后 包含 了 这个 五百 兆 的 流量
您好   您 稍等一下 你 这边 上网 功能 有 开通 那 为什么 没有 十几条 g 网络 可以 用 吗
您好 很 高兴 为您服务   你 好好
您好 高兴 服务   您 现在 手机 套餐 的话 是 十六块 钱 的 月租费 套餐 五块 钱 的 彩铃 五块 钱 的 设定 化 商务 版 还有 一块钱 的 幺 二 五八 零 生活 播报
