你好请讲其他 先生嗯请讲 这边帮您看了一下有收费的业务套餐费一个月八十八然后这边有一个来电提醒一个月三块钱然后有一个彩铃六块彩印三块手机阅读六块没有其他扣费了 
您好请讲 呃这个手机套餐费九十九块的 其他之前有做一个活动是五十块一个流量包那您自己只要付二十就可以了二十块钱多加两g它有优惠六个月多加二十块钱呃其他的话我帮您看一下您说五十g 
您好很高兴为您服务 对对对对要取消吗 可以呃您这个的话是原来有参加了活动这个活动还没到期只收您十块钱十二月一号到期得下个月来电取消 
喂你好请讲 除了三十八套餐之外您这边下个月改了五十八有一个流量包五块给您取消掉吧每个吗块钱流量包五块钱 给您关闭它流量不累计关闭好了 
您好请讲 您好您说 您是三十八块钱套餐里面五百兆流量一百分钟厦门打全国的通话的 
您好请讲 好您现在就是基本套餐每个月七十九这个呃其他收费的没开了就这个就还有一个惠民网一个月一块钱其他收费没开了 对 
您好请讲 我给您看一下请问您月租之外的话其他的话有个家庭网剩下的没了 就是一个互打五五幺五二这个 
你好 恩您说 我看一下您稍等有啊本机有办宽带 
您好很高兴为您服务 喂你好 您的套餐是三十八的有一百分钟加五百兆流量 
您好请讲行 您每天扣费是您的宽带费按天扣一天天扣的 没错宽带费按天扣 
您好您好 对 有啊 
您好请讲 稍等一下您家套餐就十八套餐跟来电提醒 但是我们现在是有一种新飞享的三十八套餐 
中午好请讲 呃下个月套餐的话是有改成三十八的新飞享套餐 噢不能随便帮您改套餐 
您好请说 嗯这个月的流量只有五八套餐里面的五百兆然后下个月是一百三十八里面本地龙岩不限量的 对没错 
您好很高兴为您服务 呃我看一下呗下个月你有改了五十八 我看一下您稍等嗯那可以的那我这边帮您改原来的三十八 
你好中午好 嗯我查一下吗 噢我看了一下这个问题已经有报上去了现在工作人员已经在给您处理了呃后面什么情况我给您打电话因为我看他今天呃刚刚十一点多有联系过您了但是您没有接到电话 
您好很高兴为您服务 流量套餐的话呢就是五十八套餐五百兆另外开了一个五十块钱一个g就您一个g五百兆的流量 可以啊那我帮您五十块钱流量取消下个月失效如果您这个月五十块钱流量没有用完累积不了下个月噢 
您好很高兴为您服务 噢马上给您查询的啊您现在用的就是如果用一百三十八块钱套餐另外的话是 个这边看到有一个流量包二百八十块钱的可选包如果您不需要的话帮您下个月取消 
您好请说 啊先生您目前呢这个是五十八元的飞享套餐然后这个里面还有一个是十块钱那个流量包活动到二月一号明年二月一号到期的还有两块钱的来电提醒对对对下个月的话您是升级为那个八十八元新飞享套餐了还有一些家庭网的套餐业务 嗯其他目前暂时没有啦就这些 
我看一下现在是二十八块的套餐费其他的您稍等一下看一下噢嗯没有没有其他收费了 没有开 对啊没有十块流量包 
你好请讲 但现在只需要提供一下他的服务密码请问可以提供吗 好那您验证一下密码按井号键结束为您查询嗯嗯恩你好密码验证通过您刚才说您查这个号码的套餐我给您看是十八元的飞享套餐 
您好很高兴为您服务 十八块钱套餐 没有啊 
您好很高兴为您服务 您用的是三十八的套餐另外有一个来电提醒两块还有个家庭网三块就这三个其它没有了 嗯恩是上个月吗还是这个月 

您好很高兴为您服务 啊好的那这边帮您查询的话您这个五十块的这个流量包呃是有开的那这个帮您关闭掉是吗 那套餐话我这边帮您登记了下个月取消了下个月就不收费的流量不做累积 
您好请讲 我看一下您稍等 我现在已经有成功呢四个小时一个g的噢那就是我现在可以开始用了是吗嗯是的这一g省内流量已经可以用呢 
你好 移动宽带我帮您看一下嗯行不啊我们有办理到宽带一下看一下哈 请稍等我们是二十兆的宽带二十兆那我那里面我查了一下有十元的提速包对对提速包 
招行 我帮您看了一下您现在用的是四g飞享二十八的一个月租然后另外您有开通的就是那个宽带然后宽带包月的其他固定有收费的包月服务的话我帮您看了一下就没有了 对没错 
你好 积分是自动累积的呀不是有七百三十五 七百三十五 
您好很高兴为您服务 八块钱您稍等啊八块呃那个和教育那个小孩子在学校读书那个校讯通是吧 那您要退我可以帮您退但是先退掉以后您要办回来他是那个集美那个集美区金宝哎您保小学的如果取消了你要办回来要找学校才能办可以吗 
您好请讲你好你帮我查一下 噢我帮您查您稍等短信功能没有关闭正常开通的 是全部号码给您发的短信都收不到吗就是我的微信登录上去要不要验证码完了不用验证码收不到的话要看一下是不是手机上拦截的这种类似验证码之类的 
您好请问需要什么帮助 好请稍等嗯嗯嗯这里面有发现订购了热门资讯一些着口上通讯书库图书馆报手机报有订购的项目 卡 
您好请讲为您服务 您现在这个号码是四十八元的这个飞享套餐另外有参加的那个活动它到期会自动关来显是套餐包含的其他的什么收费项目就没有了 哪个 
您好很高兴为您服务 好的请稍等一下目前的话月租费四十八块钱一个月然后其他的话有一个手机视频跟手机动漫但是都是送的话费返还的钟出其他的话没有开通什么收费的业务您是说这个话费的比较大是吗 嗯嗯我看了一下的话呢主要是一个安装费您这两个这个月不是安装的宽带吗安装费的话就五十八然后打电话额外打了二十块五毛二这个主要原因但是主要是没有安装费的原因 
您好请讲 我看一下稍等 我查了没有开通流量啊没有开通完成这个套餐每个月送一百兆 
早上好您请说 恩好我帮您看一下 八三五三 
您好请说 您稍等我一下 呃目前我看了一下您在九月十三号的时候就已经受理成功了 
您好请说 七五 呃对 
你好您请说 你好 呃呃是的又要取消掉是吗 
您好很高兴为您服务哎你好我问一下我的手机号哎请说 您是三八套餐其他有些业务您额外要收费就一个来电提醒 对额外要收费的业务了对啊 
您好很高兴为您服务 我帮您查一下 那个我今天找您现在这个套餐就一个套餐八块钱还有一个是那个上门发展股份有限公司的集团网其他都没有办理了 
您好请说 呃这个是三十八元的套餐 三十八 
您好很高兴为您服务 您说新飞享五十八套餐呢 新飞享五十八套餐一百分钟全国通话本地打国内通话三百分钟然后来电显示包括在里面另外的话流量五百兆全国流量两千五百七十二兆省内流量总共三个g省内流量不结转 
呃晚上回头 恩你好 我帮您看一下噢 
您很高兴为您服务 呃我这里看到您有开通的话那就一个三十八一个基本套餐还有一个宽带然后还有一个来电显示这个是包在套餐内的其他的什么意思噢还有个学校的校讯通 是需要考试成绩不知这个情况会有短信通知 
下午好请讲 诶先生您好 呃您这号码的话现在用的是三十八套餐额外其他业务我看一下其他没有开通就一个三十八套餐 
您好请讲 您现在用的是三十八元套餐里面的话一百分钟五百兆的额外有订了一个三十元五百兆的流量包这两个加起来就要六十八了 帮我那个关掉吧额外那三十元流量包关掉对不对 
您好很高兴为您服务 有没有关掉帮您查一下 您这边上网功能没有关那有正常开着 
中午好很高兴您服务 三十八套餐 嗯 
您好请说 三十八元套餐 是的 
您好请说 诶 二十八元吧三百五十分钟三百兆加来电显示 
您好请说 行您这边就一个八块钱的一个基础套餐其他的业务的话 没有其他业务啊就一个八元套餐 
我您好请讲 嗯是没错 先生那五十八元是您的基本套餐它这个是取消不了的可以更换别的套餐 
你好 你好 有个一百三十八的它是那个厦门本地流量无限量当时根据封顶限速的那种 
您好喂你好哎您好请说 现在手机这个 噢好您的基本套餐是八十八的两百二十分钟七百兆的然后套餐之外有个上网套餐七十块两g的七十块钱两g啊嗯是 
您好请讲您好 我帮您看一下请稍等一下 您这张卡有开通来电显示啊 
你好 您目前的话是二十四块钱一个基本套餐然后里面有包含三十个g的那个腾讯视频定向流量这个业务然后您如果有有用额外的流量是每天会给您扣一块钱每天会给您五百兆流量可以在福建省内使用额外有送来电显示打电话都是每分钟一毛九在国内接电话是不收费的 九块钱您我们目前有八块钱套餐十块钱套餐是没法改的目前有八块钱套餐 
您好您说 诶您好 自动信息我帮您关掉下个月就没有了 
您好请讲 您这边现在用的是五十八元套餐下个月改了我们的八十八套餐那改了以后流量比较多那您额外开的一个五十块钱流量建议您可以取消 另外有一个幺二五八零的三块这个要不要取消啦 
对您好请讲 套餐您是八十八套餐然后有办一个来电提醒三块 呼叫转移稍等一下我帮您查询有在您关机的时候转到一个号码上幺五九六零六零二八九六六包取消掉了吗 
