一个您好请问您稍后宽带办理还是咨询是是办理我做的是幺八八的套餐原来有送宽带的是吗哦 请问好好静安区金山路 睡觉了对 过那个没有 
您好很高兴为您服务您好 对 呃如果您确认是已经关开过的话那建议到您的话比如说您还是正常使用那如果确实一下您这边目前已经又出现这样的情况的话我们这边建议到您的话呃还是您正常使用之后留意到下个月五号之后是否有返您话费这个您不用担心如果您确实使用的话我武汉市可以再发给您的 我们还是建议到您建议您现在目前正常使用每个月五号再看一下好的好的好吧如果确实目前没有如果确实没有返还给到您的话我们会帮您去反映 
对您好很高兴为您服务 呃再提升套餐档次是吧要么有一个一百二十八的那您一百二十八块钱就是三百分钟全国通话然后流量的话是三个g的流量再额外赠送三个g流量赠送到二零一八年六月底结束 好那手机密码知道吗 身份证号码姓名麻烦您报一下 
您好很高兴为您服务可以您现在话月租是一个四g的飞享套餐八十八元的您要怎么更改 好的我知道了呃加十比如说八十八加十九十八块钱一个月分钟数不变两百二十分钟流量的话这边签您所说的两个g流量而且我们这边的话在搞一个从下月开始到明年六月底我们会额外再送您两个g两个g加两g四个g流量到明年六月底 九十八的 没有您参加这个套餐的话不是活动没有什么返话费活动 
您好很高兴为您服务 你现在比较划算的有一个十块钱可以加一点三个g的流量只要十块钱一千三百多兆 嗯可以的没有说不能分享可以的 恩对的 
您好很高兴为您服务 套餐您是三十八的四g飞享套餐然后其他我再看一下啊恩就是三十八元的其它没有 三十八是包含五十分钟通话和三百兆的流量五十分钟三百兆 在外省对这您这号码是全国免接听的这个套餐 
您好很高兴为您服务 你好 幺零零八我有的 有的 
您好很高兴为您服务 怎么操作的看看对我们这边直接开就可以了有短期三十天的还有长期的一百八十天都有可以那帮您开通一下开通立即生效了没有功能费三十天之后会取消 打过去是多少钱一分钟那您是去越南还是国内的原来 在国内打到云南是不是签约是吧 
很高兴为您服务 要续约对吧那我帮您转到我们宽带专席你不要挂会有专人为您介绍你不要挂机稍等 为了更好解决问题啊没关系我们电话什么宽带专席有专人现在不要挂机恩好的 
您好很高兴为您服务 流量至尊包就是就是一个呃就是一百块钱一百块钱的这十个g的本地流量就只能在上海本地使用的流量四十个g 嗯我第一次给你电话没有跟您说什么 是你们您没有这张流量至尊包啊没有的 
高兴您服务 唉请讲 套餐加流量您有什么要求吗 什么活动 
您好很高兴为您服务啊你好你好 嗯好的我看一下呃您现在是十八块包含包含一百兆您可以另外再加十元一百兆二十元三百兆三十元五百兆这种 恩好的请问本机密码知道吗噢张您是只要加到这个月底下个月就不要了对吗 今天已经十七号了 
您好很高兴为您服务 我建议您试 恩 恩 
您好很高兴为您服务 六十八的话如果您要换的话它是两百二十分钟通话一个g的流量下个月一号生效 您现在是五百分钟 好的手机服务密码知道吗 
您好请问你好 真是想这个月再加一点是吗 这边的话也就收您九块九的给您一百六十四点三八兆可以吗十块钱 有关使用 
您好很高兴为您服务 嗯嗯五十八块钱的 我我要把它加十块钱一点五g已经取消掉了 恩对的 
您好很高兴为您服务 六十八元档的话如果流量变多的话那就是五十分钟的主叫时间流量两个g七十八元档的话就是不包通话时间流量三个g好的 也有的 然后还有其他其他的话就是通话要再多一点的话呢就是要两百二十分钟流量的话只有三百兆 
您好很高兴为您服务 恩 流量至尊包的话首先的话您自己有您要是飞享套餐一百三十八元档或者一百三十八元档一下或者您现在有个流量模组一百元档以上的或者包括一百元的这个流量模组你现在可以办理呀 我今天现在我用的呢 
您好兴为您服务您好嗯我想你好你说 嗯这个如果要办一下流量包能打回当地移动让他们这里帮您看一下信息流量包可以帮您办一下 嗯那还有什么帮到您的吗 那如果对我服务满意请十分评价活愉快再见 
您好很高兴为您服务 没有 我听得到是您手机问题 用积分兑换流量刚才 
您好很高兴为您服务 嗯您好请说 叫什么套餐 对 
高兴为您服务 您现在是一百五十八套餐您要更换什么套餐呢要最低的月租吗 我这不那您要告诉我您大概需要多少通话多少流量呢 三个g是吧通话时间通话时间没有六百的五百分钟 
您好高兴为您服务您好 对但是我们这边的话还是推荐您是自己准备路由器 对是的但是我们跟我们这边这边的移动公司建议到了自己准备路由器比会比较好一点 呃我们这边是不提供路由器的路由器下子呗在国际上写的很明确 
您好很高兴为您服务 开通什么 好的我帮您办一下手机服务密码知道吗 在用吗 
您好兴您服务您好 二十八三十八 语音包上面你这个档次上面我们是有三十八块钱是两百二十分钟的能不能说这个返还是有签什么协议的吗 返还十六块钱那么按照稍等一下噢那麻烦目前套餐来看的话它那么价格应该是当天那个一百零八的才能消费就是每个月消费一百零八一年的协议然后的话总共可以赠送一百九十五块钱每个月返十六这样一个促销活动 
为您服务 请说 恩但是的话目前是一百八十八的本月是三g流量五百分钟通话时长一百八十八块 兆流量是吧 
您好很高兴为您服务 现在有升级套餐送流量活动就您这套餐升级为九十八的套餐自选套餐套餐里面通话时间呢是两百二十分钟流量套餐里面是两g活动再送两g要改吗改是下月生效 对九十八的 对啊九十八呀还有一个 
您好很高兴为您服务 因为您来电市话什么号码我帮您转回归属地那边办理不要挂机为您转接好吗 
您好很高兴为您服务 啊您这边声音比较轻我听不清楚您可以稍微强硬嘛 关机我还是听不清楚啊 对啊嗯 
您好很高兴为您服务 您说现在再加流量是吧 再加我看一下再加的话您可以办那种按天折算的流量包比如说流量包比如说三十块五百兆四十块七百兆五十块一个g按剩余天数来折算具体需要多少兆呢我帮您看一 你要换套餐换套餐吗选择很多了您要下个月生效了好的好那您要多少流量呢每个月 
嗯那您好高兴为您服务 要参与宽带什么问题 嗯哪个号码您说 嗯嗯 
您好很高兴为您 呃套餐块钱是五十八元的一个全球通飞享套餐那里面内容是五五百兆流量加一百分钟的通话 两次两次您可以改成自选套餐呃同样五十八吧一百分钟去掉全部算的流量想就两个g那就现在还有活动改到两个g还能再送 一百分钟不变流量到两个g的七十八 
您好很高兴为您服务 六十八两g有啊就等于说您之前的那个通话降低就行了您流量是一样的通话的话降为五十分钟正好六十八您现在一百零八就多少通话时间而已流量根据您现在这个套餐是一样的 我想我想换这个因为我觉得 那就下个月把通话时间给您降低流量跟那个一样大学的五十分钟的 
您好很高兴为您服务您好 更优惠的套餐您是要送话费的还是不要送话费的 送话费的话您要升级到一百五十八的它是签约一年每个月送二十三 不要就需要把它降低的话您可以选一个低一点的套餐呀您可以选一个一百零八的噢您流量多了平时 
您好很高兴服务 您自己套餐里面是两个g的流量两个g一百五十八元 对 有没有用完这边看不到呢您可以发送短信幺零九幺发给幺零零八六查证一下系统会告知您的 
您好很高兴为您服务 优惠的套餐套餐都一样您现在三十八的这个还有个版本是五百兆流量打电话打一个算一个一毛九一分钟全国接听免费的 三十八的套餐里面包含了五百兆流量打电话打一个算一个一毛九一分钟全国接听免费流量版的 您要多少流量多少通话时间吗 
您好很高兴服务 你好 飞享套餐你要办多少元呢有五十八八十八都有但是它流量没有那么多的 五十八是就一百分钟通话五百兆流量八十八是二百二十分钟通话七百兆流量 
它现在是全国是的中国大陆都一个都一样的 最低十八一个月只有一百兆流量全国接听免费打国内电话一毛九一分钟 对是的 对 
您好很高兴为您服务 您是要这个月单独加呢还是以后每个月都要 这个月再加的话您只能开通那个流量可选包按天折算那种需要加多少 您现在没几天了吗二十六号的是多少 
